[08:10:56] Requirement Extraction Log
------------------------------------------------------------------------
[08:10:56] Started attachment search.
[08:10:57] Scan progress 0/1: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments
[08:11:13] Scan progress 1/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 0% complete | 0 attachments found
[08:11:13] Scan progress 6/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 0% complete | 0 attachments found
[08:11:13] Scan progress 11/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 0% complete | 0 attachments found
[08:11:14] Scan progress 16/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 1% complete | 0 attachments found
[08:11:14] Scan progress 21/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 1% complete | 0 attachments found
[08:11:14] Scan progress 26/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 1% complete | 0 attachments found
[08:11:14] Scan progress 31/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 2% complete | 4 attachments found
[08:11:14] Scan progress 36/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 2% complete | 5 attachments found
[08:11:14] Scan progress 41/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 2% complete | 5 attachments found
[08:11:14] Scan progress 46/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 3% complete | 5 attachments found
[08:11:14] Scan progress 51/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 3% complete | 5 attachments found
[08:11:14] Scan progress 56/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 3% complete | 5 attachments found
[08:11:15] Scan progress 61/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 4% complete | 5 attachments found
[08:11:15] Scan progress 66/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 4% complete | 6 attachments found
[08:11:15] Scan progress 71/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 5% complete | 6 attachments found
[08:11:15] Scan progress 76/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 5% complete | 6 attachments found
[08:11:15] Scan progress 81/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 5% complete | 6 attachments found
[08:11:15] Scan progress 86/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 6% complete | 6 attachments found
[08:11:15] Scan progress 91/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 6% complete | 6 attachments found
[08:11:15] Scan progress 96/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 6% complete | 6 attachments found
[08:11:15] Scan progress 101/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 7% complete | 6 attachments found
[08:11:16] Scan progress 106/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 7% complete | 6 attachments found
[08:11:16] Scan progress 111/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 7% complete | 6 attachments found
[08:11:16] Scan progress 116/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 8% complete | 6 attachments found
[08:11:16] Scan progress 121/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 8% complete | 6 attachments found
[08:11:16] Scan progress 126/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 8% complete | 6 attachments found
[08:11:16] Scan progress 131/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 9% complete | 6 attachments found
[08:11:16] Scan progress 136/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 9% complete | 6 attachments found
[08:11:16] Scan progress 141/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 9% complete | 6 attachments found
[08:11:16] Scan progress 146/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 10% complete | 6 attachments found
[08:11:16] Scan progress 151/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 10% complete | 6 attachments found
[08:11:17] Scan progress 156/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 11% complete | 6 attachments found
[08:11:17] Scan progress 161/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 11% complete | 6 attachments found
[08:11:17] Scan progress 166/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 11% complete | 6 attachments found
[08:11:17] Scan progress 171/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 12% complete | 6 attachments found
[08:11:17] Scan progress 176/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 12% complete | 6 attachments found
[08:11:17] Scan progress 181/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 12% complete | 6 attachments found
[08:11:17] Scan progress 186/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 13% complete | 6 attachments found
[08:11:17] Scan progress 191/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 13% complete | 6 attachments found
[08:11:17] Scan progress 196/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 13% complete | 6 attachments found
[08:11:17] Scan progress 201/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 14% complete | 6 attachments found
[08:11:18] Scan progress 206/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 14% complete | 6 attachments found
[08:11:18] Scan progress 211/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 14% complete | 6 attachments found
[08:11:18] Scan progress 216/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 15% complete | 6 attachments found
[08:11:18] Scan progress 221/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 15% complete | 6 attachments found
[08:11:18] Scan progress 226/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 15% complete | 6 attachments found
[08:11:18] Scan progress 231/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 16% complete | 6 attachments found
[08:11:18] Scan progress 236/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 16% complete | 6 attachments found
[08:11:18] Scan progress 241/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 17% complete | 6 attachments found
[08:11:18] Scan progress 246/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 17% complete | 6 attachments found
[08:11:19] Scan progress 251/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 17% complete | 6 attachments found
[08:11:19] Scan progress 256/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 18% complete | 6 attachments found
[08:11:19] Scan progress 261/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 18% complete | 6 attachments found
[08:11:19] Scan progress 266/1415: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 18% complete | 6 attachments found
